Word,Index
vitamin,454
c,455
rich,456
drinks,457
vapour,458
check,459
Pneumonia,460
inflammatory,461
air,462
sacs,463
Laxatives,464
compresses,465
Dimorphic,466
hemmorhoids(piles),467
swollen,468
blood,469
vessels,470
rectum.,471
constipation,472
pain_during_bowel_movements,473
pain_in_anal_region,474
bloody_stool,475
Hemorrhoids,476
Nitroglycerin,477
Aspirin,478
Beta-blockers,479
Calcium,480
channel,481
blockers,482
witch,483
hazel,484
warm,485
epsom,486
alovera,487
irritation_in_anus,488
Heart,489
attack,490
sudden,491
reduction,492
heart,493
muscle.,494
Compression,495
stockings,496
Exercise,497
Elevating,498
legs,499
Sclerotherapy,500
call,501
ambulance,502
chew,503
swallow,504
asprin,505
calm,506
Varicose,507
veins,508
are,509
"enlarged,",510
twisted,511
usually,512
appear,513
on,514
legs.,515
cramps,516
bruising,517
obesity,518
Veins,519
Levothyroxine,520
Antithyroid,521
Radioactive,522
iodine,523
lie,524
flat,525
raise,526
leg,527
oinments,528
vein,529
compression,530
dont,531
stand,532
still,533
long,534
swollen_legs,535
Hypothyroidism,536
thyroid,537
gland,538
doesn't,539
produce,540
enough,541
hormone.,542
weight_gain,543
cold_hands_and_feets,544
mood_swings,545
Iodine-rich,546
Selenium-rich,547
Thyroid,548
surgery,549
Hyperthyroidism,550
produces,551
too,552
much,553
Low-Iodine,554
Calcium-rich,555
Glucose,556
tablets,557
Candy,558
Glucagon,559
injection,560
dextrose,561
lemon,562
balm,563
radioactive,564
treatment,565
Hypoglycemia,566
abnormally,567
low,568
sugar,569
levels.,570
anxiety,571
Complex,572
carbohydrates,573
snacks,574
Hot,575
packs,576
Joint,577
protection,578
side,579
pulse,580
sugary,581
Osteoarthristis,582
joint,583
cartilage,584
joints.,585
knee_pain,586
hip_joint_pain,587
NSAIDs,588
Disease-modifying,589
antirheumatic,590
(DMARDs),591
Biologics,592
acetaminophen,593
swelling_joints,594
one,595
more,596
"joints,",597
stiffness.,598
muscle_weakness,599
stiff_neck,600
movement_stiffness,601
Vestibular,602
rehabilitation,603
Canalith,604
repositioning,605
Surgery,606
hot,607
acupuncture,608
painful_walking,609
spinning_movements,610
change,611
abrupt,612
head,613
movment,614
relax,615
Acne,616
hair,617
follicles,618
become,619
clogged,620
dead,621
cells.,622
pus_filled_pimples,623
blackheads,624
scurring,625
Low-Glycemic,626
many,627
products,628
Urinary,629
tract,630
any,631
part,632
urinary,633
bladder_discomfort,634
foul_smell_of,635
urine,636
continuous_feel_of_urine,637
UTI,638
Cranberry,639
analgesics,640
Phenazopyridine,641
Antispasmodics,642
increase,643
intake,644
cranberry,645
probiotics,646
Psoriasis,647
chronic,648
"red,",649
"itchy,",650
scaly,651
patches.,652
skin_peeling,653
silver_like_dusting,654
Topical,655
treatments,656
Phototherapy,657
Systemic,658
soapy,659
using,660
pressure,661
small_dents_in_nails,662
Impetigo,663
red,664
sores,665
break,666
open.,667
blister,668
red_sore_around_nose,669
Antibiotic,670
antibiotics,671
Oral,672
Antiseptics,673
Ointments,674
soak,675
affected,676
remove,677
scabs,678
wet,679
compressed,680
cloth,681
yellow_crust_ooze,682
