Column,Word1,Word2
description,when,the
description,the,body
description,body,reacts
description,reacts,adversely
description,adversely,to
description,to,a
description,a,medication
description,drug,reaction
description,reaction,occurs
description,occurs,when
description,when,the
description,the,body
description,body,reacts
description,reacts,adversely
description,adversely,to
description,to,a
description,a,medication
description,drug,reaction
description,reaction,occurs
description,occurs,when
description,when,the
description,the,body
description,body,reacts
description,reacts,adversely
description,adversely,to
description,to,a
description,a,medication
description,drug,reaction
description,reaction,occurs
description,occurs,when
description,when,the
description,the,body
description,body,reacts
description,reacts,adversely
description,adversely,to
description,to,a
description,a,medication
description,drug,reaction
description,reaction,occurs
description,occurs,when
description,when,the
description,the,body
description,body,reacts
description,reacts,adversely
description,adversely,to
description,to,a
description,a,medication
description,drug,reaction
description,reaction,occurs
description,occurs,when
description,when,the
description,the,body
description,body,reacts
description,reacts,adversely
description,adversely,to
description,to,a
description,a,medication
description,drug,reaction
description,reaction,occurs
description,occurs,when
description,when,the
description,the,body
description,body,reacts
description,reacts,adversely
description,adversely,to
description,to,a
description,a,medication
description,drug,reaction
description,reaction,occurs
description,occurs,when
description,when,the
description,the,body
description,body,reacts
description,reacts,adversely
description,adversely,to
description,to,a
description,a,medication
description,drug,reaction
description,reaction,occurs
description,occurs,when
description,when,the
description,the,body
description,body,reacts
description,reacts,adversely
description,adversely,to
description,to,a
description,a,medication
description,aids,acquired
description,acquired,immunodeficiency
description,immunodeficiency,syndrome
description,syndrome,is
description,is,a
description,a,disease
description,disease,caused
description,caused,by
description,by,hiv
description,hiv,that
description,that,weakens
description,weakens,the
description,the,immune
description,immune,system
description,aids,acquired
description,acquired,immunodeficiency
description,immunodeficiency,syndrome
description,syndrome,is
description,is,a
description,a,disease
description,disease,caused
description,caused,by
description,by,hiv
description,hiv,that
description,that,weakens
description,weakens,the
description,the,immune
description,immune,system
description,aids,acquired
description,acquired,immunodeficiency
description,immunodeficiency,syndrome
description,syndrome,is
description,is,a
description,a,disease
description,disease,caused
description,caused,by
description,by,hiv
description,hiv,that
description,that,weakens
description,weakens,the
description,the,immune
description,immune,system
description,aids,acquired
description,acquired,immunodeficiency
description,immunodeficiency,syndrome
description,syndrome,is
description,is,a
description,a,disease
description,disease,caused
description,caused,by
description,by,hiv
description,hiv,that
description,that,weakens
description,weakens,the
description,the,immune
description,immune,system
description,aids,acquired
description,acquired,immunodeficiency
description,immunodeficiency,syndrome
description,syndrome,is
description,is,a
description,a,disease
description,disease,caused
description,caused,by
description,by,hiv
description,hiv,that
description,that,weakens
description,weakens,the
description,the,immune
description,immune,system
description,aids,acquired
description,acquired,immunodeficiency
description,immunodeficiency,syndrome
description,syndrome,is
description,is,a
description,a,disease
description,disease,caused
description,caused,by
description,by,hiv
description,hiv,that
description,that,weakens
description,weakens,the
description,the,immune
description,immune,system
description,aids,acquired
description,acquired,immunodeficiency
description,immunodeficiency,syndrome
description,syndrome,is
description,is,a
description,a,disease
description,disease,caused
description,caused,by
description,by,hiv
description,hiv,that
description,that,weakens
description,weakens,the
description,the,immune
description,immune,system
description,aids,acquired
description,acquired,immunodeficiency
description,immunodeficiency,syndrome
description,syndrome,is
description,is,a
description,a,disease
description,disease,caused
description,caused,by
description,by,hiv
description,hiv,that
description,that,weakens
description,weakens,the
description,the,immune
description,immune,system
description,aids,acquired
description,acquired,immunodeficiency
description,immunodeficiency,syndrome
description,syndrome,is
description,is,a
description,a,disease
description,disease,caused
description,caused,by
description,by,hiv
description,hiv,that
description,that,weakens
description,weakens,the
description,the,immune
description,immune,system
description,aids,acquired
description,acquired,immunodeficiency
description,immunodeficiency,syndrome
description,syndrome,is
description,is,a
description,a,disease
description,disease,caused
description,caused,by
description,by,hiv
description,hiv,that
description,that,weakens
description,weakens,the
description,the,immune
description,immune,system
description,gastroenteritis,is
description,is,an
description,an,inflammation
description,inflammation,of
description,of,the
description,the,stomach
description,stomach,and
description,and,intestines
description,intestines,typically
description,typically,caused
description,caused,by
description,by,a
description,a,virus
description,virus,or
description,or,bacteria
description,gastroenteritis,is
description,is,an
description,an,inflammation
description,inflammation,of
description,of,the
description,the,stomach
description,stomach,and
description,and,intestines
description,intestines,typically
description,typically,caused
description,caused,by
description,by,a
description,a,virus
description,virus,or
description,or,bacteria
description,gastroenteritis,is
description,is,an
description,an,inflammation
description,inflammation,of
description,of,the
description,the,stomach
description,stomach,and
description,and,intestines
description,intestines,typically
description,typically,caused
description,caused,by
description,by,a
description,a,virus
description,virus,or
description,or,bacteria
description,gastroenteritis,is
description,is,an
description,an,inflammation
description,inflammation,of
description,of,the
description,the,stomach
description,stomach,and
description,and,intestines
description,intestines,typically
description,typically,caused
description,caused,by
description,by,a
description,a,virus
description,virus,or
description,or,bacteria
description,gastroenteritis,is
description,is,an
description,an,inflammation
description,inflammation,of
description,of,the
description,the,stomach
description,stomach,and
description,and,intestines
description,intestines,typically
description,typically,caused
description,caused,by
description,by,a
description,a,virus
description,virus,or
description,or,bacteria
description,gastroenteritis,is
description,is,an
description,an,inflammation
description,inflammation,of
description,of,the
description,the,stomach
description,stomach,and
description,and,intestines
description,intestines,typically
description,typically,caused
description,caused,by
description,by,a
description,a,virus
description,virus,or
description,or,bacteria
description,gastroenteritis,is
description,is,an
description,an,inflammation
description,inflammation,of
description,of,the
description,the,stomach
description,stomach,and
description,and,intestines
description,intestines,typically
description,typically,caused
description,caused,by
description,by,a
description,a,virus
description,virus,or
description,or,bacteria
description,gastroenteritis,is
description,is,an
description,an,inflammation
description,inflammation,of
description,of,the
description,the,stomach
description,stomach,and
description,and,intestines
description,intestines,typically
description,typically,caused
description,caused,by
description,by,a
description,a,virus
description,virus,or
description,or,bacteria
description,gastroenteritis,is
description,is,an
description,an,inflammation
description,inflammation,of
description,of,the
description,the,stomach
description,stomach,and
description,and,intestines
description,intestines,typically
description,typically,caused
description,caused,by
description,by,a
description,a,virus
description,virus,or
description,or,bacteria
description,gastroenteritis,is
description,is,an
description,an,inflammation
description,inflammation,of
description,of,the
description,the,stomach
description,stomach,and
description,and,intestines
description,intestines,typically
description,typically,caused
description,caused,by
description,by,a
description,a,virus
description,virus,or
description,or,bacteria
description,bronchial,asthma
description,asthma,is
description,is,a
description,a,respiratory
description,respiratory,condition
description,condition,characterized
description,characterized,by
description,by,inflammation
description,inflammation,of
description,of,the
description,the,airways
description,bronchial,asthma
description,asthma,is
description,is,a
description,a,respiratory
description,respiratory,condition
description,condition,characterized
description,characterized,by
description,by,inflammation
description,inflammation,of
description,of,the
description,the,airways
description,bronchial,asthma
description,asthma,is
description,is,a
description,a,respiratory
description,respiratory,condition
description,condition,characterized
description,characterized,by
description,by,inflammation
description,inflammation,of
description,of,the
description,the,airways
description,bronchial,asthma
description,asthma,is
description,is,a
description,a,respiratory
description,respiratory,condition
description,condition,characterized
description,characterized,by
description,by,inflammation
description,inflammation,of
description,of,the
description,the,airways
description,bronchial,asthma
description,asthma,is
description,is,a
description,a,respiratory
description,respiratory,condition
description,condition,characterized
description,characterized,by
description,by,inflammation
description,inflammation,of
description,of,the
description,the,airways
description,bronchial,asthma
description,asthma,is
description,is,a
description,a,respiratory
description,respiratory,condition
description,condition,characterized
description,characterized,by
description,by,inflammation
description,inflammation,of
description,of,the
description,the,airways
description,bronchial,asthma
description,asthma,is
description,is,a
description,a,respiratory
description,respiratory,condition
description,condition,characterized
description,characterized,by
description,by,inflammation
description,inflammation,of
description,of,the
description,the,airways
description,bronchial,asthma
description,asthma,is
description,is,a
description,a,respiratory
description,respiratory,condition
description,condition,characterized
description,characterized,by
description,by,inflammation
description,inflammation,of
description,of,the
description,the,airways
description,bronchial,asthma
description,asthma,is
description,is,a
description,a,respiratory
description,respiratory,condition
description,condition,characterized
description,characterized,by
description,by,inflammation
description,inflammation,of
description,of,the
description,the,airways
description,bronchial,asthma
description,asthma,is
description,is,a
description,a,respiratory
description,respiratory,condition
description,condition,characterized
description,characterized,by
description,by,inflammation
description,inflammation,of
description,of,the
description,the,airways
description,migraine,is
description,is,a
description,a,type
description,type,of
description,of,headache
description,headache,that
description,that,often
description,often,involves
description,involves,severe
description,severe,pain
description,pain,and
description,and,sensitivity
description,sensitivity,to
description,to,light
description,light,and
description,and,sound
description,migraine,is
description,is,a
description,a,type
description,type,of
description,of,headache
description,headache,that
description,that,often
description,often,involves
description,involves,severe
description,severe,pain
description,pain,and
description,and,sensitivity
description,sensitivity,to
description,to,light
description,light,and
description,and,sound
description,migraine,is
description,is,a
description,a,type
description,type,of
description,of,headache
description,headache,that
description,that,often
description,often,involves
description,involves,severe
description,severe,pain
description,pain,and
description,and,sensitivity
description,sensitivity,to
description,to,light
description,light,and
description,and,sound
description,migraine,is
description,is,a
description,a,type
description,type,of
description,of,headache
description,headache,that
description,that,often
description,often,involves
description,involves,severe
description,severe,pain
description,pain,and
description,and,sensitivity
description,sensitivity,to
description,to,light
description,light,and
description,and,sound
description,migraine,is
description,is,a
description,a,type
description,type,of
description,of,headache
description,headache,that
description,that,often
description,often,involves
description,involves,severe
description,severe,pain
description,pain,and
description,and,sensitivity
description,sensitivity,to
description,to,light
description,light,and
description,and,sound
description,migraine,is
description,is,a
description,a,type
description,type,of
description,of,headache
description,headache,that
description,that,often
description,often,involves
description,involves,severe
description,severe,pain
description,pain,and
description,and,sensitivity
description,sensitivity,to
description,to,light
description,light,and
description,and,sound
description,migraine,is
description,is,a
description,a,type
description,type,of
description,of,headache
description,headache,that
description,that,often
description,often,involves
description,involves,severe
description,severe,pain
description,pain,and
description,and,sensitivity
description,sensitivity,to
description,to,light
description,light,and
description,and,sound
description,migraine,is
description,is,a
description,a,type
description,type,of
description,of,headache
description,headache,that
description,that,often
description,often,involves
description,involves,severe
description,severe,pain
description,pain,and
description,and,sensitivity
description,sensitivity,to
description,to,light
description,light,and
description,and,sound
description,migraine,is
description,is,a
description,a,type
description,type,of
description,of,headache
description,headache,that
description,that,often
description,often,involves
description,involves,severe
description,severe,pain
description,pain,and
description,and,sensitivity
description,sensitivity,to
description,to,light
description,light,and
description,and,sound
description,migraine,is
description,is,a
description,a,type
description,type,of
description,of,headache
description,headache,that
description,that,often
description,often,involves
description,involves,severe
description,severe,pain
description,pain,and
description,and,sensitivity
description,sensitivity,to
description,to,light
description,light,and
description,and,sound
description,cervical,spondylosis
description,spondylosis,is
description,is,a
description,a,degenerative
description,degenerative,condition
description,condition,of
description,of,the
description,the,cervical
description,cervical,spine
description,cervical,spondylosis
description,spondylosis,is
description,is,a
description,a,degenerative
description,degenerative,condition
description,condition,of
description,of,the
description,the,cervical
description,cervical,spine
description,cervical,spondylosis
description,spondylosis,is
description,is,a
description,a,degenerative
description,degenerative,condition
description,condition,of
description,of,the
description,the,cervical
description,cervical,spine
description,cervical,spondylosis
description,spondylosis,is
description,is,a
description,a,degenerative
description,degenerative,condition
description,condition,of
description,of,the
description,the,cervical
description,cervical,spine
description,cervical,spondylosis
description,spondylosis,is
description,is,a
description,a,degenerative
description,degenerative,condition
description,condition,of
description,of,the
description,the,cervical
description,cervical,spine
description,cervical,spondylosis
description,spondylosis,is
description,is,a
description,a,degenerative
description,degenerative,condition
description,condition,of
description,of,the
description,the,cervical
description,cervical,spine
description,cervical,spondylosis
description,spondylosis,is
description,is,a
description,a,degenerative
description,degenerative,condition
description,condition,of
description,of,the
description,the,cervical
description,cervical,spine
description,cervical,spondylosis
description,spondylosis,is
description,is,a
description,a,degenerative
description,degenerative,condition
description,condition,of
description,of,the
description,the,cervical
description,cervical,spine
description,cervical,spondylosis
description,spondylosis,is
description,is,a
description,a,degenerative
description,degenerative,condition
description,condition,of
description,of,the
description,the,cervical
description,cervical,spine
description,cervical,spondylosis
description,spondylosis,is
description,is,a
description,a,degenerative
description,degenerative,condition
description,condition,of
description,of,the
description,the,cervical
description,cervical,spine
description,paralysis,brain
description,brain,hemorrhage
description,hemorrhage,refers
description,refers,to
description,to,the
description,the,loss
description,loss,of
description,of,muscle
description,muscle,function
description,function,due
description,due,to
description,to,bleeding
description,bleeding,in
description,in,the
description,the,brain
description,paralysis,brain
description,brain,hemorrhage
description,hemorrhage,refers
description,refers,to
description,to,the
description,the,loss
description,loss,of
description,of,muscle
description,muscle,function
description,function,due
description,due,to
description,to,bleeding
description,bleeding,in
description,in,the
description,the,brain
description,paralysis,brain
description,brain,hemorrhage
description,hemorrhage,refers
description,refers,to
description,to,the
description,the,loss
description,loss,of
description,of,muscle
description,muscle,function
description,function,due
description,due,to
description,to,bleeding
description,bleeding,in
description,in,the
description,the,brain
description,paralysis,brain
description,brain,hemorrhage
description,hemorrhage,refers
description,refers,to
description,to,the
description,the,loss
description,loss,of
description,of,muscle
description,muscle,function
description,function,due
description,due,to
description,to,bleeding
description,bleeding,in
description,in,the
description,the,brain
description,paralysis,brain
description,brain,hemorrhage
description,hemorrhage,refers
description,refers,to
description,to,the
description,the,loss
description,loss,of
description,of,muscle
description,muscle,function
description,function,due
description,due,to
description,to,bleeding
description,bleeding,in
description,in,the
description,the,brain
description,paralysis,brain
description,brain,hemorrhage
description,hemorrhage,refers
description,refers,to
description,to,the
description,the,loss
description,loss,of
description,of,muscle
description,muscle,function
description,function,due
description,due,to
description,to,bleeding
description,bleeding,in
description,in,the
description,the,brain
description,paralysis,brain
description,brain,hemorrhage
description,hemorrhage,refers
description,refers,to
description,to,the
description,the,loss
description,loss,of
description,of,muscle
description,muscle,function
description,function,due
description,due,to
description,to,bleeding
description,bleeding,in
description,in,the
description,the,brain
description,paralysis,brain
description,brain,hemorrhage
description,hemorrhage,refers
description,refers,to
description,to,the
description,the,loss
description,loss,of
description,of,muscle
description,muscle,function
description,function,due
description,due,to
description,to,bleeding
description,bleeding,in
description,in,the
description,the,brain
description,paralysis,brain
description,brain,hemorrhage
description,hemorrhage,refers
description,refers,to
description,to,the
description,the,loss
description,loss,of
description,of,muscle
description,muscle,function
description,function,due
description,due,to
description,to,bleeding
description,bleeding,in
description,in,the
description,the,brain
description,paralysis,brain
description,brain,hemorrhage
description,hemorrhage,refers
description,refers,to
description,to,the
description,the,loss
description,loss,of
description,of,muscle
description,muscle,function
description,function,due
description,due,to
description,to,bleeding
description,bleeding,in
description,in,the
description,the,brain
description,jaundice,is
description,is,a
description,a,yellow
description,yellow,discoloration
description,discoloration,of
description,of,the
description,the,skin
description,skin,and
description,and,eyes
description,eyes,often
description,often,indicating
description,indicating,liver
description,liver,problems
description,jaundice,is
description,is,a
description,a,yellow
description,yellow,discoloration
description,discoloration,of
description,of,the
description,the,skin
description,skin,and
description,and,eyes
description,eyes,often
description,often,indicating
description,indicating,liver
description,liver,problems
description,jaundice,is
description,is,a
description,a,yellow
description,yellow,discoloration
description,discoloration,of
description,of,the
description,the,skin
description,skin,and
description,and,eyes
description,eyes,often
description,often,indicating
description,indicating,liver
description,liver,problems
description,jaundice,is
description,is,a
description,a,yellow
description,yellow,discoloration
description,discoloration,of
description,of,the
description,the,skin
description,skin,and
description,and,eyes
description,eyes,often
description,often,indicating
description,indicating,liver
description,liver,problems
description,jaundice,is
description,is,a
description,a,yellow
description,yellow,discoloration
description,discoloration,of
description,of,the
description,the,skin
description,skin,and
description,and,eyes
description,eyes,often
description,often,indicating
description,indicating,liver
description,liver,problems
description,jaundice,is
description,is,a
description,a,yellow
description,yellow,discoloration
description,discoloration,of
description,of,the
description,the,skin
description,skin,and
description,and,eyes
description,eyes,often
description,often,indicating
description,indicating,liver
description,liver,problems
description,jaundice,is
description,is,a
description,a,yellow
description,yellow,discoloration
description,discoloration,of
description,of,the
description,the,skin
description,skin,and
description,and,eyes
description,eyes,often
description,often,indicating
description,indicating,liver
description,liver,problems
description,jaundice,is
description,is,a
description,a,yellow
description,yellow,discoloration
description,discoloration,of
description,of,the
description,the,skin
description,skin,and
description,and,eyes
description,eyes,often
description,often,indicating
description,indicating,liver
description,liver,problems
description,jaundice,is
description,is,a
description,a,yellow
description,yellow,discoloration
description,discoloration,of
description,of,the
description,the,skin
description,skin,and
description,and,eyes
description,eyes,often
description,often,indicating
description,indicating,liver
description,liver,problems
description,jaundice,is
description,is,a
description,a,yellow
description,yellow,discoloration
description,discoloration,of
description,of,the
description,the,skin
description,skin,and
description,and,eyes
description,eyes,often
description,often,indicating
description,indicating,liver
description,liver,problems
description,malaria,is
description,is,a
description,a,mosquito
description,mosquito,borne
description,borne,infectious
description,infectious,disease
description,disease,affecting
description,affecting,humans
description,humans,and
description,and,other
description,other,animals
description,malaria,is
description,is,a
description,a,mosquito
description,mosquito,borne
description,borne,infectious
description,infectious,disease
description,disease,affecting
description,affecting,humans
description,humans,and
description,and,other
description,other,animals
description,malaria,is
description,is,a
description,a,mosquito
description,mosquito,borne
description,borne,infectious
description,infectious,disease
description,disease,affecting
description,affecting,humans
description,humans,and
description,and,other
description,other,animals
description,malaria,is
description,is,a
description,a,mosquito
description,mosquito,borne
description,borne,infectious
description,infectious,disease
description,disease,affecting
description,affecting,humans
description,humans,and
description,and,other
description,other,animals
description,malaria,is
description,is,a
description,a,mosquito
description,mosquito,borne
description,borne,infectious
description,infectious,disease
description,disease,affecting
description,affecting,humans
description,humans,and
description,and,other
description,other,animals
description,malaria,is
description,is,a
description,a,mosquito
description,mosquito,borne
description,borne,infectious
description,infectious,disease
description,disease,affecting
description,affecting,humans
description,humans,and
description,and,other
description,other,animals
description,malaria,is
description,is,a
description,a,mosquito
description,mosquito,borne
description,borne,infectious
description,infectious,disease
description,disease,affecting
description,affecting,humans
description,humans,and
description,and,other
description,other,animals
description,malaria,is
description,is,a
description,a,mosquito
description,mosquito,borne
description,borne,infectious
description,infectious,disease
description,disease,affecting
description,affecting,humans
description,humans,and
description,and,other
description,other,animals
description,malaria,is
description,is,a
description,a,mosquito
description,mosquito,borne
description,borne,infectious
description,infectious,disease
description,disease,affecting
description,affecting,humans
description,humans,and
description,and,other
description,other,animals
description,malaria,is
description,is,a
description,a,mosquito
description,mosquito,borne
description,borne,infectious
description,infectious,disease
description,disease,affecting
description,affecting,humans
description,humans,and
description,and,other
description,other,animals
description,chicken,pox
description,pox,is
description,is,a
description,a,highly
description,highly,contagious
description,contagious,viral
description,viral,infection
description,infection,causing
description,causing,an
description,an,itchy
description,itchy,rash
description,chicken,pox
description,pox,is
description,is,a
description,a,highly
description,highly,contagious
description,contagious,viral
description,viral,infection
description,infection,causing
description,causing,an
description,an,itchy
description,itchy,rash
description,chicken,pox
description,pox,is
description,is,a
description,a,highly
description,highly,contagious
description,contagious,viral
description,viral,infection
description,infection,causing
description,causing,an
description,an,itchy
description,itchy,rash
description,chicken,pox
description,pox,is
description,is,a
description,a,highly
description,highly,contagious
description,contagious,viral
description,viral,infection
description,infection,causing
description,causing,an
description,an,itchy
description,itchy,rash
description,chicken,pox
description,pox,is
description,is,a
description,a,highly
description,highly,contagious
description,contagious,viral
description,viral,infection
description,infection,causing
description,causing,an
description,an,itchy
description,itchy,rash
description,chicken,pox
description,pox,is
description,is,a
description,a,highly
description,highly,contagious
description,contagious,viral
description,viral,infection
description,infection,causing
description,causing,an
description,an,itchy
description,itchy,rash
description,chicken,pox
description,pox,is
description,is,a
description,a,highly
description,highly,contagious
description,contagious,viral
description,viral,infection
description,infection,causing
description,causing,an
description,an,itchy
description,itchy,rash
description,chicken,pox
description,pox,is
description,is,a
description,a,highly
description,highly,contagious
description,contagious,viral
description,viral,infection
description,infection,causing
description,causing,an
description,an,itchy
description,itchy,rash
description,chicken,pox
description,pox,is
description,is,a
description,a,highly
description,highly,contagious
description,contagious,viral
description,viral,infection
description,infection,causing
description,causing,an
description,an,itchy
description,itchy,rash
description,chicken,pox
description,pox,is
description,is,a
description,a,highly
description,highly,contagious
description,contagious,viral
description,viral,infection
description,infection,causing
description,causing,an
description,an,itchy
description,itchy,rash
description,dengue,is
description,is,a
description,a,mosquito
description,mosquito,borne
description,borne,viral
description,viral,infection
description,infection,causing
description,causing,flu
description,flu,like
description,like,symptoms
description,dengue,is
description,is,a
