Disease,description,workout,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Diet_1,Diet_2,Diet_3,Diet_4,Medication_1,Medication_2,Medication_3,Medication_4,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Allergy,Allergy is an immune system reaction to a substance in the environment.,Avoid allergenic foods, shivering, chills, watering_from_eyes,,Elimination Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Decongestants,Epinephrine,Corticosteroids,apply calamine,cover area with bandage,,use ice to compress itching
Allergy,Allergy is an immune system reaction to a substance in the environment.,Avoid allergenic foods, continuous_sneezing, chills, watering_from_eyes,,Elimination Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Decongestants,Epinephrine,Corticosteroids,apply calamine,cover area with bandage,,use ice to compress itching
Allergy,Allergy is an immune system reaction to a substance in the environment.,Avoid allergenic foods, continuous_sneezing, shivering, watering_from_eyes,,Elimination Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Decongestants,Epinephrine,Corticosteroids,apply calamine,cover area with bandage,,use ice to compress itching
Allergy,Allergy is an immune system reaction to a substance in the environment.,Avoid allergenic foods, continuous_sneezing, shivering, chills,,Elimination Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Decongestants,Epinephrine,Corticosteroids,apply calamine,cover area with bandage,,use ice to compress itching
Allergy,Allergy is an immune system reaction to a substance in the environment.,Avoid allergenic foods, shivering, chills, watering_from_eyes,,Elimination Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Decongestants,Epinephrine,Corticosteroids,apply calamine,cover area with bandage,,use ice to compress itching
Allergy,Allergy is an immune system reaction to a substance in the environment.,Avoid allergenic foods, continuous_sneezing, chills, watering_from_eyes,,Elimination Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Decongestants,Epinephrine,Corticosteroids,apply calamine,cover area with bandage,,use ice to compress itching
Allergy,Allergy is an immune system reaction to a substance in the environment.,Avoid allergenic foods, continuous_sneezing, shivering, watering_from_eyes,,Elimination Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Decongestants,Epinephrine,Corticosteroids,apply calamine,cover area with bandage,,use ice to compress itching
Allergy,Allergy is an immune system reaction to a substance in the environment.,Avoid allergenic foods, continuous_sneezing, shivering, chills,,Elimination Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Decongestants,Epinephrine,Corticosteroids,apply calamine,cover area with bandage,,use ice to compress itching
Allergy,Allergy is an immune system reaction to a substance in the environment.,Avoid allergenic foods, continuous_sneezing, shivering, chills, watering_from_eyes,Elimination Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Decongestants,Epinephrine,Corticosteroids,apply calamine,cover area with bandage,,use ice to compress itching
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,Consume smaller meals, stomach_pain, acidity, ulcers_on_tongue, vomiting,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Proton Pump Inhibitors (PPIs),H2 Blockers,Antacids,Prokinetics,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,Consume smaller meals, stomach_pain, ulcers_on_tongue, vomiting, cough,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Proton Pump Inhibitors (PPIs),H2 Blockers,Antacids,Prokinetics,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,Consume smaller meals, stomach_pain, acidity, vomiting, cough,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Proton Pump Inhibitors (PPIs),H2 Blockers,Antacids,Prokinetics,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,Consume smaller meals, stomach_pain, acidity, ulcers_on_tongue, cough,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Proton Pump Inhibitors (PPIs),H2 Blockers,Antacids,Prokinetics,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,Consume smaller meals, stomach_pain, acidity, ulcers_on_tongue, vomiting,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Proton Pump Inhibitors (PPIs),H2 Blockers,Antacids,Prokinetics,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,Consume smaller meals, stomach_pain, acidity, ulcers_on_tongue, vomiting,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Proton Pump Inhibitors (PPIs),H2 Blockers,Antacids,Prokinetics,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,Consume smaller meals, acidity, ulcers_on_tongue, vomiting, cough,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Proton Pump Inhibitors (PPIs),H2 Blockers,Antacids,Prokinetics,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,Consume smaller meals, stomach_pain, ulcers_on_tongue, vomiting, cough,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Proton Pump Inhibitors (PPIs),H2 Blockers,Antacids,Prokinetics,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,Consume smaller meals, stomach_pain, acidity, vomiting, cough,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Proton Pump Inhibitors (PPIs),H2 Blockers,Antacids,Prokinetics,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,Consume smaller meals, stomach_pain, acidity, ulcers_on_tongue, cough,Low-Acid Diet,Fiber-rich foods,Ginger,Licorice,Proton Pump Inhibitors (PPIs),H2 Blockers,Antacids,Prokinetics,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Consume a low-fat diet,itching, vomiting, yellowish_skin, nausea,Low-Fat Diet,High-Fiber Diet,Lean proteins,Whole grains,Ursodeoxycholic acid,Cholestyramine,Methotrexate,Corticosteroids,cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Consume a low-fat diet, vomiting, yellowish_skin, nausea, loss_of_appetite,Low-Fat Diet,High-Fiber Diet,Lean proteins,Whole grains,Ursodeoxycholic acid,Cholestyramine,Methotrexate,Corticosteroids,cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Consume a low-fat diet,itching, yellowish_skin, nausea, loss_of_appetite,Low-Fat Diet,High-Fiber Diet,Lean proteins,Whole grains,Ursodeoxycholic acid,Cholestyramine,Methotrexate,Corticosteroids,cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Consume a low-fat diet,itching, vomiting, nausea, loss_of_appetite,Low-Fat Diet,High-Fiber Diet,Lean proteins,Whole grains,Ursodeoxycholic acid,Cholestyramine,Methotrexate,Corticosteroids,cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Consume a low-fat diet,itching, vomiting, yellowish_skin, loss_of_appetite,Low-Fat Diet,High-Fiber Diet,Lean proteins,Whole grains,Ursodeoxycholic acid,Cholestyramine,Methotrexate,Corticosteroids,cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Consume a low-fat diet,itching, vomiting, yellowish_skin, nausea,Low-Fat Diet,High-Fiber Diet,Lean proteins,Whole grains,Ursodeoxycholic acid,Cholestyramine,Methotrexate,Corticosteroids,cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Consume a low-fat diet,itching, vomiting, yellowish_skin, nausea,Low-Fat Diet,High-Fiber Diet,Lean proteins,Whole grains,Ursodeoxycholic acid,Cholestyramine,Methotrexate,Corticosteroids,cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Consume a low-fat diet,itching, vomiting, yellowish_skin, nausea,Low-Fat Diet,High-Fiber Diet,Lean proteins,Whole grains,Ursodeoxycholic acid,Cholestyramine,Methotrexate,Corticosteroids,cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Consume a low-fat diet,itching, vomiting, yellowish_skin, nausea,Low-Fat Diet,High-Fiber Diet,Lean proteins,Whole grains,Ursodeoxycholic acid,Cholestyramine,Methotrexate,Corticosteroids,cold baths,anti itch medicine,consult doctor,eat healthy
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Consume a low-fat diet,itching, vomiting, yellowish_skin, nausea,Low-Fat Diet,High-Fiber Diet,Lean proteins,Whole grains,Ursodeoxycholic acid,Cholestyramine,Methotrexate,Corticosteroids,cold baths,anti itch medicine,consult doctor,eat healthy
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,Discontinue offending medication,itching, skin_rash, stomach_pain, burning_micturition,Antihistamine Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Epinephrine,Corticosteroids,Antibiotics,stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,Discontinue offending medication,itching, stomach_pain, burning_micturition, spotting_ urination,Antihistamine Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Epinephrine,Corticosteroids,Antibiotics,stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,Discontinue offending medication,itching, skin_rash, burning_micturition, spotting_ urination,Antihistamine Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Epinephrine,Corticosteroids,Antibiotics,stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,Discontinue offending medication,itching, skin_rash, stomach_pain, spotting_ urination,Antihistamine Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Epinephrine,Corticosteroids,Antibiotics,stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,Discontinue offending medication,itching, skin_rash, stomach_pain, burning_micturition,Antihistamine Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Epinephrine,Corticosteroids,Antibiotics,stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,Discontinue offending medication, skin_rash, stomach_pain, burning_micturition, spotting_ urination,Antihistamine Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Epinephrine,Corticosteroids,Antibiotics,stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,Discontinue offending medication,itching, stomach_pain, burning_micturition, spotting_ urination,Antihistamine Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Epinephrine,Corticosteroids,Antibiotics,stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,Discontinue offending medication,itching, skin_rash, burning_micturition, spotting_ urination,Antihistamine Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Epinephrine,Corticosteroids,Antibiotics,stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,Discontinue offending medication,itching, skin_rash, stomach_pain, spotting_ urination,Antihistamine Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Epinephrine,Corticosteroids,Antibiotics,stop irritation,consult nearest hospital,stop taking drug,follow up
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,Discontinue offending medication,itching, skin_rash, stomach_pain, burning_micturition,Antihistamine Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Epinephrine,Corticosteroids,Antibiotics,stop irritation,consult nearest hospital,stop taking drug,follow up
Peptic ulcer diseae,,, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Peptic ulcer diseae,,, vomiting, indigestion, abdominal_pain, passage_of_gases,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Peptic ulcer diseae,,, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Peptic ulcer diseae,,, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Peptic ulcer diseae,,, vomiting, indigestion, abdominal_pain, passage_of_gases,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Peptic ulcer diseae,,, vomiting, indigestion, loss_of_appetite, passage_of_gases,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Peptic ulcer diseae,,, vomiting, indigestion, loss_of_appetite, abdominal_pain,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Peptic ulcer diseae,,, vomiting, indigestion, loss_of_appetite, abdominal_pain,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Peptic ulcer diseae,,, vomiting, indigestion, loss_of_appetite, abdominal_pain,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Peptic ulcer diseae,,, vomiting, indigestion, loss_of_appetite, abdominal_pain,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,Follow a balanced and nutritious diet, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,Balanced Diet,Protein-rich foods,Fruits and vegetables,Whole grains,Antiretroviral drugs,Protease inhibitors,Integrase inhibitors,Entry inhibitors,avoid open cuts,wear ppe if possible,consult doctor,follow up
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,Follow a balanced and nutritious diet, patches_in_throat, high_fever, extra_marital_contacts,,Balanced Diet,Protein-rich foods,Fruits and vegetables,Whole grains,Antiretroviral drugs,Protease inhibitors,Integrase inhibitors,Entry inhibitors,avoid open cuts,wear ppe if possible,consult doctor,follow up
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,Follow a balanced and nutritious diet, muscle_wasting, high_fever, extra_marital_contacts,,Balanced Diet,Protein-rich foods,Fruits and vegetables,Whole grains,Antiretroviral drugs,Protease inhibitors,Integrase inhibitors,Entry inhibitors,avoid open cuts,wear ppe if possible,consult doctor,follow up
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,Follow a balanced and nutritious diet, muscle_wasting, patches_in_throat, extra_marital_contacts,,Balanced Diet,Protein-rich foods,Fruits and vegetables,Whole grains,Antiretroviral drugs,Protease inhibitors,Integrase inhibitors,Entry inhibitors,avoid open cuts,wear ppe if possible,consult doctor,follow up
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,Follow a balanced and nutritious diet, muscle_wasting, patches_in_throat, high_fever,,Balanced Diet,Protein-rich foods,Fruits and vegetables,Whole grains,Antiretroviral drugs,Protease inhibitors,Integrase inhibitors,Entry inhibitors,avoid open cuts,wear ppe if possible,consult doctor,follow up
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,Follow a balanced and nutritious diet, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,Balanced Diet,Protein-rich foods,Fruits and vegetables,Whole grains,Antiretroviral drugs,Protease inhibitors,Integrase inhibitors,Entry inhibitors,avoid open cuts,wear ppe if possible,consult doctor,follow up
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,Follow a balanced and nutritious diet, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,Balanced Diet,Protein-rich foods,Fruits and vegetables,Whole grains,Antiretroviral drugs,Protease inhibitors,Integrase inhibitors,Entry inhibitors,avoid open cuts,wear ppe if possible,consult doctor,follow up
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,Follow a balanced and nutritious diet, patches_in_throat, high_fever, extra_marital_contacts,,Balanced Diet,Protein-rich foods,Fruits and vegetables,Whole grains,Antiretroviral drugs,Protease inhibitors,Integrase inhibitors,Entry inhibitors,avoid open cuts,wear ppe if possible,consult doctor,follow up
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,Follow a balanced and nutritious diet, muscle_wasting, high_fever, extra_marital_contacts,,Balanced Diet,Protein-rich foods,Fruits and vegetables,Whole grains,Antiretroviral drugs,Protease inhibitors,Integrase inhibitors,Entry inhibitors,avoid open cuts,wear ppe if possible,consult doctor,follow up
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,Follow a balanced and nutritious diet, muscle_wasting, patches_in_throat, high_fever,,Balanced Diet,Protein-rich foods,Fruits and vegetables,Whole grains,Antiretroviral drugs,Protease inhibitors,Integrase inhibitors,Entry inhibitors,avoid open cuts,wear ppe if possible,consult doctor,follow up
Diabetes ,,, fatigue, weight_loss, restlessness, lethargy,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
Diabetes ,,, fatigue, weight_loss, restlessness, lethargy,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
Diabetes ,,, weight_loss, restlessness, lethargy, irregular_sugar_level,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
Diabetes ,,, fatigue, restlessness, lethargy, irregular_sugar_level,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
Diabetes ,,, fatigue, weight_loss, lethargy, irregular_sugar_level,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
Diabetes ,,, fatigue, weight_loss, restlessness, irregular_sugar_level,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
Diabetes ,,, fatigue, weight_loss, restlessness, lethargy,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
Diabetes ,,, fatigue, weight_loss, restlessness, lethargy,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
Diabetes ,,, fatigue, weight_loss, restlessness, lethargy,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
Diabetes ,,, fatigue, weight_loss, restlessness, lethargy,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Stay hydrated, vomiting, sunken_eyes, dehydration, diarrhoea,Bland Diet,Bananas,Rice,Applesauce,Antibiotics,Antiemetic drugs,Antidiarrheal drugs,IV fluids,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Stay hydrated, vomiting, sunken_eyes, dehydration, diarrhoea,Bland Diet,Bananas,Rice,Applesauce,Antibiotics,Antiemetic drugs,Antidiarrheal drugs,IV fluids,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Stay hydrated, sunken_eyes, dehydration, diarrhoea,,Bland Diet,Bananas,Rice,Applesauce,Antibiotics,Antiemetic drugs,Antidiarrheal drugs,IV fluids,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Stay hydrated, vomiting, dehydration, diarrhoea,,Bland Diet,Bananas,Rice,Applesauce,Antibiotics,Antiemetic drugs,Antidiarrheal drugs,IV fluids,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Stay hydrated, vomiting, sunken_eyes, diarrhoea,,Bland Diet,Bananas,Rice,Applesauce,Antibiotics,Antiemetic drugs,Antidiarrheal drugs,IV fluids,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Stay hydrated, vomiting, sunken_eyes, dehydration,,Bland Diet,Bananas,Rice,Applesauce,Antibiotics,Antiemetic drugs,Antidiarrheal drugs,IV fluids,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Stay hydrated, vomiting, sunken_eyes, dehydration, diarrhoea,Bland Diet,Bananas,Rice,Applesauce,Antibiotics,Antiemetic drugs,Antidiarrheal drugs,IV fluids,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Stay hydrated, sunken_eyes, dehydration, diarrhoea,,Bland Diet,Bananas,Rice,Applesauce,Antibiotics,Antiemetic drugs,Antidiarrheal drugs,IV fluids,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Stay hydrated, vomiting, dehydration, diarrhoea,,Bland Diet,Bananas,Rice,Applesauce,Antibiotics,Antiemetic drugs,Antidiarrheal drugs,IV fluids,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Stay hydrated, vomiting, sunken_eyes, diarrhoea,,Bland Diet,Bananas,Rice,Applesauce,Antibiotics,Antiemetic drugs,Antidiarrheal drugs,IV fluids,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,Include anti-inflammatory foods, fatigue, cough, high_fever, breathlessness,Anti-Inflammatory Diet,Omega-3-rich foods,Fruits and vegetables,Whole grains,Bronchodilators,Inhaled corticosteroids,Leukotriene modifiers,Mast cell stabilizers,switch to loose cloothing,take deep breaths,get away from trigger,seek help
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,Include anti-inflammatory foods, cough, high_fever, breathlessness, family_history,Anti-Inflammatory Diet,Omega-3-rich foods,Fruits and vegetables,Whole grains,Bronchodilators,Inhaled corticosteroids,Leukotriene modifiers,Mast cell stabilizers,switch to loose cloothing,take deep breaths,get away from trigger,seek help
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,Include anti-inflammatory foods, fatigue, high_fever, breathlessness, family_history,Anti-Inflammatory Diet,Omega-3-rich foods,Fruits and vegetables,Whole grains,Bronchodilators,Inhaled corticosteroids,Leukotriene modifiers,Mast cell stabilizers,switch to loose cloothing,take deep breaths,get away from trigger,seek help
